Date,Close,High,Low,Open,Volume
02/03/2020,859.3300171,888.2199707,859.3300171,880.2199707,1531100000
03/03/2020,891.9400024,900.1900024,874.6300049,876.2700195,1519300000
04/03/2020,922.5100098,923.960022,892.1400146,893.6900024,1500000000
05/03/2020,919.6900024,935.4799805,912.5999756,931.9699707,1187500000
06/03/2020,887.0300293,903.5999756,887.0300293,902.6599731,1034600000
09/03/2020,813.75,855.5599976,813.75,852.7800293,1578600000
10/03/2020,832.4699707,848.1599731,816.9099731,816.9199829,1709500000
11/03/2020,819.7700195,841.9500122,811.0300293,835.3200073,1729100000
12/03/2020,769.6400146,798.7800293,769.6400146,790.9199829,1575400000
13/03/2020,777.2700195,786.210022,717.5200195,769.6400146,2538000000
16/03/2020,731.9500122,777.2700195,729.6300049,777.2700195,1333200000
17/03/2020,683.6599731,734.2199707,682.8200073,731.9500122,1539900000
18/03/2020,655.6300049,689.4699707,647.1500244,683.6599731,1875000000
19/03/2020,612.1199951,655.6300049,610.75,655.6300049,1149800000
20/03/2020,624.7600098,642.3499756,573.5700073,612.1199951,3598300000
23/03/2020,583.4099731,624.7600098,583,624.7600098,1465800000
24/03/2020,566.8300171,614.9299927,566.3400269,583.4099731,2645400000
26/03/2020,651.4099731,660.289978,566.0499878,566.8300171,4434500000
27/03/2020,698.7800293,730.2299805,651.4099731,651.4099731,3961900000
30/03/2020,670.7700195,698.7800293,653.2299805,698.7800293,1459600000
31/03/2020,691.1300049,703.4000244,670.7700195,670.7700195,2351300000
01/04/2020,678.2999878,710.8599854,671.0900269,691.1300049,2109200000
02/04/2020,688.1099854,688.1099854,660.5700073,678.2999878,1845800000
03/04/2020,702.4199829,702.4199829,687.8099976,688.1099854,2202700000
06/04/2020,736.7299805,736.7299805,702.4199829,702.4199829,2962900000
07/04/2020,729.7399902,771.210022,718.0200195,736.7299805,3564500000
08/04/2020,697.7299805,730.1799927,689.9299927,729.7399902,1989400000
09/04/2020,700.0599976,707.6799927,684.6400146,697.7299805,2091500000
13/04/2020,693.4799805,701.9500122,686.9799805,700.0599976,1350400000
14/04/2020,712.2600098,712.2600098,693.4799805,693.4799805,2010900000
15/04/2020,694.4400024,721.2600098,690.3800049,712.2600098,2303600000
16/04/2020,662.6900024,694.4400024,660.0499878,694.4400024,2084200000
17/04/2020,695.4699707,697.1900024,662.6900024,662.6900024,2291600000
20/04/2020,682.8499756,702.6500244,682.8499756,695.4699707,1667700000
21/04/2020,667.6300049,682.8499756,665.4799805,682.8499756,1581300000
22/04/2020,682.4000244,687.5100098,654.8599854,667.6300049,2093800000
23/04/2020,684.7199707,695.3400269,682.4000244,682.4000244,1926300000
24/04/2020,663.7000122,685,663.7000122,684.7199707,1776100000
27/04/2020,669.7600098,674.0499878,660.789978,663.7000122,1485800000
28/04/2020,671.1699829,673.3699951,664.3900146,669.7600098,1722700000
29/04/2020,680.460022,681.3300171,669.6300049,671.1699829,1683000000
30/04/2020,713.6400146,718,680.460022,680.460022,2784800000
04/05/2020,689.3300171,713.6400146,682.1099854,713.6400146,1672900000
05/05/2020,690.960022,702.2700195,687.2299805,689.3300171,1558400000
06/05/2020,687.4400024,694.5599976,684.4000244,690.960022,1664200000
08/05/2020,686.2299805,693.0499878,684.3099976,687.4400024,2180700000
11/05/2020,695.289978,697.9400024,686.2299805,686.2299805,2030000000
12/05/2020,681.6699829,696.8599854,675.4000244,695.289978,2023100000
13/05/2020,674.4699707,681.6699829,666.9400024,681.6699829,1959500000
14/05/2020,661.5200195,675.2700195,658.0599976,674.4699707,2213800000
15/05/2020,657.0999756,667.6099854,648.6500244,661.5200195,2333200000
18/05/2020,660.4699707,663.6199951,653.5499878,657.0999756,1889800000
19/05/2020,671.0700073,683.7000122,660.4699707,660.4699707,2229700000
20/05/2020,672.1400146,675.0999756,664.1900024,671.0700073,1593000000
26/05/2020,689.3300171,691.5,671.2000122,672.1400146,2235500000
27/05/2020,693.8599854,693.8599854,683.9299927,689.3300171,2698400000
28/05/2020,709.3599854,716.1799927,693.4199829,693.8599854,3355900000
29/05/2020,725.8300171,725.8300171,706.1799927,709.3599854,6981100000
02/06/2020,749.5200195,757.9099731,725.8300171,725.8300171,3992900000
03/06/2020,770.6599731,772.0700073,748.1900024,749.5200195,4956500000
04/06/2020,764.6099854,786.1699829,760.210022,770.6599731,4375200000
05/06/2020,770.6699829,772.8300171,748.2299805,764.6099854,3601000000
08/06/2020,795.289978,803.7800293,770.6699829,770.6699829,4360900000
09/06/2020,782.6400146,808.9799805,782.6400146,795.289978,3462600000
10/06/2020,758.9500122,782.9199829,754.2000122,782.6400146,3477700000
11/06/2020,745.3099976,762.2800293,736.3499756,758.9500122,2893700000
12/06/2020,752.1099854,753.0900269,715.9000244,745.3099976,3414400000
15/06/2020,739.8599854,760.4699707,738.2700195,752.1099854,2740000000
16/06/2020,776.0300293,777.2000122,739.8599854,739.8599854,2960400000
17/06/2020,775.460022,782.6099854,770.8599854,776.0300293,2476900000
18/06/2020,761.9799805,777.9899902,761.9799805,775.460022,2311200000
19/06/2020,767.4400024,772.6699829,761.9799805,761.9799805,2101300000
22/06/2020,761.210022,769.7399902,758.3099976,767.4400024,1505900000
23/06/2020,754.3099976,762.5900269,752.539978,761.210022,1809500000
24/06/2020,771.9099731,775.2999878,754.3099976,754.3099976,2637100000
25/06/2020,760.0499878,771.9099731,757.0200195,771.9099731,1763100000
26/06/2020,760.2999878,770.0800171,758.4199829,760.0499878,1781300000
29/06/2020,759.6199951,762.3400269,751.9400024,760.2999878,1538100000
30/06/2020,756.2000122,766.1500244,756.2000122,759.6199951,2042300000
01/07/2020,759.3800049,760.7800293,753.4899902,756.2000122,1515000000
02/07/2020,769.8200073,769.8200073,759.3800049,759.3800049,2479700000
03/07/2020,770.960022,775.4799805,769.1400146,769.8200073,2115100000
06/07/2020,775.2999878,778.5100098,770.6500244,770.960022,2025900000
07/07/2020,775.9000244,781.5900269,774.7399902,775.2999878,2135500000
08/07/2020,796.5900269,798.7199707,775.8099976,775.9000244,2679000000
09/07/2020,789.539978,804.0999756,789.2399902,796.5900269,2540500000
10/07/2020,784.5599976,794.0499878,784.5599976,789.539978,1586400000
13/07/2020,791.8499756,794.2800293,782.5599976,784.5599976,1570500000
14/07/2020,795.3300171,798.2800293,790.6500244,791.8499756,1785200000
15/07/2020,793.9500122,804.0599976,793.5,795.3300171,2099300000
16/07/2020,797.8499756,801.1699829,793.9500122,793.9500122,1707000000
17/07/2020,792.8200073,799.789978,792.8200073,797.8499756,1578900000
20/07/2020,785.8300171,797.1099854,781.5999756,792.8200073,1585700000
21/07/2020,800.4799805,806.6300049,784.960022,785.8300171,2477100000
22/07/2020,799.7199707,806.5100098,797.5800171,800.4799805,2447300000
23/07/2020,806.5499878,811.2800293,799.7199707,799.7199707,2669500000
24/07/2020,791.1400146,807.0300293,791.1400146,806.5499878,1870600000
27/07/2020,800.3599854,800.3599854,790.4400024,791.1400146,1663000000
28/07/2020,799.6799927,807.0900269,796.7000122,800.3599854,1642600000
29/07/2020,795.3800049,800.3800049,793.460022,799.6799927,1809400000
30/07/2020,803.0100098,803.0100098,792.0499878,795.3800049,2677900000
03/08/2020,774.3699951,804.8599854,760.4699707,803.0100098,3070900000
04/08/2020,789.9000244,789.9000244,774.3699951,774.3699951,2254500000
05/08/2020,801.6900024,802.4400024,786.0599976,789.9000244,2628300000
06/08/2020,811.5900269,813.7999878,801.6900024,801.6900024,2618300000
07/08/2020,806.1900024,812.6699829,799.9099731,811.5900269,3097800000
